,,,,Execution Time,Execution Time,Execution Time,Execution Time,Guesses,Guesses,Guesses,Backtracks,Backtracks,Backtracks
,,,,count,min,max,mean,min,max,mean,min,max,mean
algorithm,search,guess,Zeros,,,,,,,,,,
Backtracking,1,1,26,25,0.0143608999787829,0.0161135999951511,0.01491031599929552,26,48,31.28,0,22,5.28
Backtracking,1,2,26,25,0.0147388000041246,0.0189223999914247,0.015467583998106372,26,50,30.84,0,24,4.84
Backtracking,2,1,26,25,0.0140774000028614,0.0157663999998476,0.01476873600040558,26,44,31.56,0,18,5.56
Backtracking,2,2,26,25,0.0142084000108297,0.0158000999945215,0.01486296799848782,26,40,29.76,0,14,3.76
Backtracking,3,1,26,25,0.1522063000011257,0.1623405999853275,0.15807561199995684,26,129,45.52,0,103,19.52
Backtracking,3,2,26,25,0.1517628000001423,0.1682984000071883,0.15728694000164972,26,143,42.56,0,117,16.56
Backtracking,4,1,26,25,0.0255176000064238,0.0287553000089246,0.026939915998373132,26,63,33.6,0,37,7.6
Backtracking,4,2,26,25,0.0257477999839466,0.028721000009682,0.026842931997962255,26,54,32.0,0,28,6.0
Backtracking,5,1,26,25,0.0257967000070493,0.0281494999944698,0.026776572002563576,26,69,34.48,0,43,8.48
Backtracking,5,2,26,25,0.0259163999871816,0.0282100999902468,0.027360603996785308,26,39,29.0,0,13,3.0
Backtracking,6,1,26,25,0.025378999998793,0.0281012999766971,0.02697080400306727,26,69,34.0,0,43,8.0
Backtracking,6,2,26,25,0.0268107000156305,0.0308018999930936,0.027685836001764934,26,77,33.28,0,51,7.28
Backtracking,7,1,26,25,0.0255277000251226,0.0285624999960418,0.026846619999268975,26,61,33.36,0,35,7.36
Backtracking,7,2,26,25,0.0257687999983318,0.0340876999835018,0.027273563996422986,26,46,29.6,0,20,3.6
Backtracking,8,1,26,25,0.0406916000065393,0.0534250999917276,0.04364925600006241,26,93,39.76,0,67,13.76
Backtracking,8,2,26,25,0.040962999977637,0.0919390000053681,0.0471410600014496,26,59,33.92,0,33,7.92
Backtracking,9,1,26,25,0.0264113000012002,0.0290213999978732,0.027493851998588024,26,69,35.16,0,43,9.16
Backtracking,9,2,26,25,0.0267422999895643,0.0292236999957822,0.02762727200286458,26,56,32.4,0,30,6.4
Rules,1,1,26,25,0.2074497999856248,0.2616465000028256,0.21542995999800038,0,4,0.16,0,0,0.0
Rules,1,2,26,25,0.2073439999949187,0.2516705999732948,0.21617308799875898,0,4,0.16,0,0,0.0
Rules,2,1,26,25,0.2079541999846696,0.2474305999930948,0.21616254799999293,0,4,0.16,0,0,0.0
Rules,2,2,26,25,0.207220199983567,0.2595728999876882,0.21958770800032648,0,4,0.16,0,0,0.0
Rules,3,1,26,25,0.208389299979899,0.2595189999847207,0.21636003999854433,0,4,0.16,0,0,0.0
Rules,3,2,26,25,0.206537499994738,0.2570583999913651,0.2149240640015341,0,4,0.16,0,0,0.0
Rules,4,1,26,25,0.2068126999947708,0.2496430999890435,0.21666898399824272,0,4,0.16,0,0,0.0
Rules,4,2,26,25,0.2062212999735493,0.2539470000192523,0.21498994399793442,0,4,0.16,0,0,0.0
Rules,5,1,26,25,0.2056524000072386,0.2649617999850306,0.21659623599960465,0,4,0.16,0,0,0.0
Rules,5,2,26,25,0.2067003999836742,0.2593968999863136,0.21492768799536857,0,4,0.16,0,0,0.0
Rules,6,1,26,25,0.2071753999916836,0.248133199987933,0.21539044399862173,0,4,0.16,0,0,0.0
Rules,6,2,26,25,0.2083210000128019,0.2567632999853231,0.2182551120012067,0,4,0.16,0,0,0.0
Rules,7,1,26,25,0.2074498999863863,0.2556628999882377,0.21425244399812068,0,4,0.16,0,0,0.0
Rules,7,2,26,25,0.2060676999972201,0.256706700020004,0.21651697600027542,0,4,0.16,0,0,0.0
Rules,8,1,26,25,0.2122973999939858,0.2609137999825179,0.21901118400041011,0,4,0.16,0,0,0.0
Rules,8,2,26,25,0.21175509999739,0.2584356000006664,0.21932768399943595,0,4,0.16,0,0,0.0
Rules,9,1,26,25,0.2096782999869901,0.2601045999908819,0.21743055999977512,0,4,0.16,0,0,0.0
Rules,9,2,26,25,0.2072171999898273,0.2557457000075373,0.2147378559981007,0,4,0.16,0,0,0.0
