Puzzle,Solution,Execution Time,Zeros,Guesses,Backtracks
001354960600871002405209317837946251009030600504108703318690425940013876050082030,271354968693871542485269317837946251129735684564128793318697425942513876756482139,0.01573540002573282,26,33,7
260078431804263507735000608047680950950407080328150704580794016492806075670005800,269578431814263597735941628147682953956437182328159764583794216492816375671325849,0.01523960000486113,26,27,1
941205006365091074080436519020050061016904723709012050653708190072169300190503680,941275836365891274287436519428357961516984723739612458653748192872169345194523687,0.01512259998708032,26,27,1
910634527635000009240500308501347892300206451482159030824005610003800970796403085,918634527635728149247591368561347892379286451482159736824975613153862974796413285,0.01518129999749362,26,31,5
070000865956478213300650940569714328017836450840520071492087506000900080785062090,174293865956478213328651947569714328217836459843529671492187536631945782785362194,0.01492449999204837,26,26,0
320008004054793208896004037008071052265839071013540986080325009032907605079416820,327168594154793268896254137948671352265839471713542986681325749432987615579416823,0.01491470000473782,26,34,8
310946750700005219009201400438600520195000800607518094246850073980732605573164902,312946758764385219859271436438697521195423867627518394246859173981732645573164982,0.01473620001343079,26,26,0
042005796570460380680027104023641508418000963700090240134076800006538407857214039,342185796571469382689327154923641578418752963765893241134976825296538417857214639,0.01487089999136515,26,26,0
967083420400570906582604070104720090096008712728031600845209037200847069679005248,967183425413572986582694371154726893396458712728931654845269137231847569679315248,0.01535820000572130,26,41,15
200460973040002801987530402804100325739040086050083794473050219091327040528910037,215468973346792851987531462864179325739245186152683794473856219691327548528914637,0.01497980000567622,26,26,0
073081502602053147045672809097005410426098075300060298730200650210040783504037921,973481562682953147145672839897325416426198375351764298738219654219546783564837921,0.01493090001167729,26,26,0
657238041008740005030905287800400702760013098540827010371680000095172836280354179,657238941928741365134965287813496752762513498549827613371689524495172836286354179,0.01501249999273568,26,33,7
760289145082457936945030027200700368000300591310090070090062400834971652621043780,763289145182457936945136827259714368476328591318695274597862413834971652621543789,0.01482589999795891,26,27,1
903010006671003842850476300465180900317204605090005174184620037739048201520031098,943812756671953842852476319465187923317294685298365174184629537739548261526731498,0.01540319999912754,26,38,12
384267059150348670720901843018006735503782090000000060492870306630120087871039504,384267159159348672726951843218496735563782491947513268492875316635124987871639524,0.01516489998903126,26,27,1
981253406030986521652471983005007348006342015473508690060104807300800000048730260,981253476734986521652471983215697348896342715473518692569124837327869154148735269,0.01559779999661259,26,50,24
201750064487096530500842701049268050018009200025431007902614300174380620836927010,291753864487196532563842791749268153318579246625431987952614378174385629836927415,0.01466260000597686,26,28,2
069400301210900060700361900107684009942513607650279043096740018421890035805102496,569428371213957864784361952137684529942513687658279143396745218421896735875132496,0.01630970000405796,26,50,24
021457609896020745007860003968170234710048950450936800609003402034702508205010397,321457689896321745547869123968175234713248956452936871679583412134792568285614397,0.01505069999257103,26,28,2
768492351230517689591083427900834006183065204400000538010379805007108000859000013,768492351234517689591683427925834176183765294476921538612379845347158962859246713,0.01545760000590235,26,27,1
580741960067009084094860725671498530958200010000107608035912806429605300016370059,582741963367529184194863725671498532958236417243157698735912846429685371816374259,0.01557610000600107,26,30,4
090345168510967030046180705100038040000200017630714852071853026480620973063479580,792345168518967234346182795127538649854296317639714852971853426485621973263479581,0.01610350000555627,26,44,18
070349251429615007153070000981407500765003109230951006608090075397580410502034968,876349251429615837153278694981467523765823149234951786648192375397586412512734968,0.01703180000185966,26,71,45
983702601002364908460189730608400275500000019190825460350046107001578306006913524,983752641712364958465189732638491275524637819197825463359246187241578396876913524,0.01852749998215586,26,26,0
602801047308247651740065203073124068026783004184590732065078409007459320400000800,652831947398247651741965283973124568526783194184596732265378419817459326439612875,0.01404670000192709,26,27,1
418602597967051230230794168000507900502913076791080453024060785800000610009078342,418632597967851234235794168386547921542913876791286453124369785873425619659178342,0.01550509998924099,26,34,8
408000269539820740620470030347560900105204076862900054906705400254603180083142695,478351269539826741621479538347568912195234876862917354916785423254693187783142695,0.01524020000942983,26,30,4
340207156800065030561904700218076390050821407406003201692708513104052870780309042,349287156827165934561934728218476395953821467476593281692748513134652879785319642,0.01545419998001307,26,26,0
492578000561390827738200495803906572640852319020713640086009754200005000000430286,492578163561394827738261495813946572647852319925713648386129754274685931159437286,0.01538749999599531,26,28,2
607093508592810043080527916054370009901642385326980070130260407240730090760150002,617493528592816743483527916854371269971642385326985174138269457245738691769154832,0.01568510002107359,26,29,3
600590487508247316007186000064850170005761209019000800476320090952614738100975624,621593487598247316347186952264859173835761249719432865476328591952614738183975624,0.01538679999066517,26,27,1
600785032389204751020093846500916403140037000036542108860450200497620315001379080,614785932389264751725193846578916423142837569936542178863451297497628315251379684,0.01573680000728928,26,27,1
507396000321000065049002738004507389753984620910063457105679840092005170076801093,587396214321748965649152738264517389753984621918263457135679842892435176476821593,0.01557920000050217,26,28,2
702839406089657230000241009654028000820075004307064528906782015230516907170090862,712839456489657231563241789654928173821375694397164528946782315238516947175493862,0.01572909997776151,26,34,8
